Job	Pri	State	Tool	Dataset	Campaign	Experiment	Instrument	Parm File	Settings_File	Organism	Organism DB	Protein Collection List	Protein Options	Comment________________	Created	Started	Finished	Runtime	Associated Processor Group	Job Request	Results Folder	Archive Folder Path	Last_Affected
353408	3	Complete	Sequest	AID_MPB_001_050307_run1_5Oct07_Sphinx_07-04-11	NIAID Monkeypox Virus BALF	AID_MPB_001_050307	LTQ_Orb_3	sequest_N14_NE.params	LCQDefSettings.txt	Macaca_mulatta	ID_001789_FAB5EC23.fasta	Macaca_sp_2008-12-02	"seq_direction=forward,filetype=fasta"	[Job:D3M580] [Req:D3X050]	12/3/2008 15:32	12/4/2008 19:53	12/4/2008 21:16	72.15		5124	Seq200812042105_Auto353408	\\a2.emsl.pnl.gov\dmsarch\LTQ_ORB_3_1\AID_MPB_001_050307_run1_5Oct07_Sphinx_07-04-11\Seq200812042105_Auto353408	12/4/2008 21:16
353409	3	Complete	Sequest	AID_MPB_001_050307_run2_5Oct07_Sphinx_07-04-11	NIAID Monkeypox Virus BALF	AID_MPB_001_050307	LTQ_Orb_3	sequest_N14_NE.params	LCQDefSettings.txt	Macaca_mulatta	ID_001789_FAB5EC23.fasta	Macaca_sp_2008-12-02	"seq_direction=forward,filetype=fasta"	[Job:D3M580] [Req:D3X050]	12/3/2008 15:32	12/4/2008 20:05	12/4/2008 20:51	31.37		5124	Seq200812042036_Auto353409	\\a2.emsl.pnl.gov\dmsarch\LTQ_ORB_3_1\AID_MPB_001_050307_run2_5Oct07_Sphinx_07-04-11\Seq200812042036_Auto353409	12/4/2008 20:51
353410	3	Complete	Sequest	AID_MPB_001_050307_run3_25Sep07_Sphinx_07-04-11	NIAID Monkeypox Virus BALF	AID_MPB_001_050307	LTQ_Orb_3	sequest_N14_NE.params	LCQDefSettings.txt	Macaca_mulatta	ID_001789_FAB5EC23.fasta	Macaca_sp_2008-12-02	"seq_direction=forward,filetype=fasta"	[Job:D3M580] [Req:D3X050]	12/3/2008 15:32	12/4/2008 20:07	12/4/2008 20:56	35.27		5124	Seq200812042042_Auto353410	\\a2.emsl.pnl.gov\dmsarch\LTQ_ORB_3_1\AID_MPB_001_050307_run3_25Sep07_Sphinx_07-04-11\Seq200812042042_Auto353410	12/4/2008 20:56
353411	3	Complete	Sequest	AID_MPB_002_050307_run1_25Sep07_Sphinx_07-04-11	NIAID Monkeypox Virus BALF	AID_MPB_002_050307	LTQ_Orb_3	sequest_N14_NE.params	LCQDefSettings.txt	Macaca_mulatta	ID_001789_FAB5EC23.fasta	Macaca_sp_2008-12-02	"seq_direction=forward,filetype=fasta"	[Job:D3M580] [Req:D3X050]	12/3/2008 15:32	12/4/2008 20:10	12/4/2008 21:36	74.12		5124	Seq200812042124_Auto353411	\\a2.emsl.pnl.gov\dmsarch\LTQ_ORB_3_1\AID_MPB_002_050307_run1_25Sep07_Sphinx_07-04-11\Seq200812042124_Auto353411	12/4/2008 21:36
353412	3	Complete	Sequest	AID_MPB_002_050307_run2_15Oct07_Sphinx_07-04-11	NIAID Monkeypox Virus BALF	AID_MPB_002_050307	LTQ_Orb_3	sequest_N14_NE.params	LCQDefSettings.txt	Macaca_mulatta	ID_001789_FAB5EC23.fasta	Macaca_sp_2008-12-02	"seq_direction=forward,filetype=fasta"	[Job:D3M580] [Req:D3X050]	12/3/2008 15:32	12/4/2008 20:18	12/4/2008 21:06	38.15		5124	Seq200812042056_Auto353412	\\a2.emsl.pnl.gov\dmsarch\LTQ_ORB_3_1\AID_MPB_002_050307_run2_15Oct07_Sphinx_07-04-11\Seq200812042056_Auto353412	12/4/2008 21:06
353413	3	Complete	Sequest	AID_MPB_002_050307_run3_18Oct07_Sphinx_07-04-11	NIAID Monkeypox Virus BALF	AID_MPB_002_050307	LTQ_Orb_3	sequest_N14_NE.params	LCQDefSettings.txt	Macaca_mulatta	ID_001789_FAB5EC23.fasta	Macaca_sp_2008-12-02	"seq_direction=forward,filetype=fasta"	[Job:D3M580] [Req:D3X050]	12/3/2008 15:32	12/4/2008 20:37	12/4/2008 21:21	32.42		5124	Seq200812042109_Auto353413	\\a2.emsl.pnl.gov\dmsarch\LTQ_ORB_3_1\AID_MPB_002_050307_run3_18Oct07_Sphinx_07-04-11\Seq200812042109_Auto353413	12/4/2008 21:21
353414	3	Complete	Sequest	AID_MPB_003_050307_run1_18Oct07_Sphinx_07-04-11	NIAID Monkeypox Virus BALF	AID_MPB_003_050307	LTQ_Orb_3	sequest_N14_NE.params	LCQDefSettings.txt	Macaca_mulatta	ID_001789_FAB5EC23.fasta	Macaca_sp_2008-12-02	"seq_direction=forward,filetype=fasta"	[Job:D3M580] [Req:D3X050]	12/3/2008 15:32	12/4/2008 20:42	12/4/2008 21:26	31.35		5124	Seq200812042113_Auto353414	\\a2.emsl.pnl.gov\dmsarch\LTQ_ORB_3_1\AID_MPB_003_050307_run1_18Oct07_Sphinx_07-04-11\Seq200812042113_Auto353414	12/4/2008 21:26
353415	3	Complete	Sequest	AID_MPB_003_050307_run1_5Oct07_Sphinx_07-04-11	NIAID Monkeypox Virus BALF	AID_MPB_003_050307	LTQ_Orb_3	sequest_N14_NE.params	LCQDefSettings.txt	Macaca_mulatta	ID_001789_FAB5EC23.fasta	Macaca_sp_2008-12-02	"seq_direction=forward,filetype=fasta"	[Job:D3M580] [Req:D3X050]	12/3/2008 15:32	12/4/2008 20:56	12/4/2008 21:11	6.77		5124	Seq200812042102_Auto353415	\\a2.emsl.pnl.gov\dmsarch\LTQ_ORB_3_1\AID_MPB_003_050307_run1_5Oct07_Sphinx_07-04-11\Seq200812042102_Auto353415	12/4/2008 21:11
353416	3	Complete	Sequest	AID_MPB_003_050307_run2_25Sep07_Sphinx_07-04-11	NIAID Monkeypox Virus BALF	AID_MPB_003_050307	LTQ_Orb_3	sequest_N14_NE.params	LCQDefSettings.txt	Macaca_mulatta	ID_001789_FAB5EC23.fasta	Macaca_sp_2008-12-02	"seq_direction=forward,filetype=fasta"	[Job:D3M580] [Req:D3X050]	12/3/2008 15:32	12/4/2008 21:03	12/4/2008 21:51	37.13		5124	Seq200812042139_Auto353416	\\a2.emsl.pnl.gov\dmsarch\LTQ_ORB_3_1\AID_MPB_003_050307_run2_25Sep07_Sphinx_07-04-11\Seq200812042139_Auto353416	12/4/2008 21:51
353417	3	Complete	Sequest	AID_MPB_003_050307_run3_18Oct07_Sphinx_07-04-11	NIAID Monkeypox Virus BALF	AID_MPB_003_050307	LTQ_Orb_3	sequest_N14_NE.params	LCQDefSettings.txt	Macaca_mulatta	ID_001789_FAB5EC23.fasta	Macaca_sp_2008-12-02	"seq_direction=forward,filetype=fasta"	[Job:D3M580] [Req:D3X050]	12/3/2008 15:32	12/4/2008 21:05	12/4/2008 22:22	65.27		5124	Seq200812042210_Auto353417	\\a2.emsl.pnl.gov\dmsarch\LTQ_ORB_3_1\AID_MPB_003_050307_run3_18Oct07_Sphinx_07-04-11\Seq200812042210_Auto353417	12/4/2008 22:22
